,string,frequencyOfMention,kind,occurences
23,GO,2,product,85.0
24,IIS,1,product,21.0
25,Android,7,product,91.0
26,Cassandra,1,product,66.0
27,Unix,1,product,67.0
28,Linux,3,product,231.0
29,Windows,1,product,91.0
30,Docker,4,product,138.0
31,MsOffice,1,product,0.0
32,Debian,1,product,12.0
33,IOS,1,product,140.0
34,ERP,1,product,28.0
35,Angular,1,product,110.0
36,JSON,1,product,125.0
37,Jira,2,tool,68.0
38,SQL,4,tool,311.0
39,ETL,1,tool,16.0
40,AWS,1,tool,82.0
41,Azure,3,tool,70.0
42,JavaScript,3,tool,294.0
43,React,3,tool,86.0
44,Scripting,1,tool,130.0
45,Bash,1,tool,60.0
46,PHP,3,tool,125.0
47,Python,2,tool,215.0
48,Akka,3,tool,138.0
49,Perl,1,tool,36.0
50,Java,4,tool,219.0
51,UX,2,tool,140.0
52,C,4,tool,314.0
53,Selenium,3,tool,31.0
54,HTTP,2,tool,56.0
55,TCP,1,tool,77.0
56,HTML,1,tool,150.0
57,Git,6,tool,419.0
58,CSS,1,tool,179.0
59,Jenkins,3,tool,105.0
60,Maven,2,tool,73.0
61,Gradle,2,tool,56.0
62,PostgreSQL,1,tool,35.0
63,CSS3,1,tool,85.0
64,HTML5,1,tool,159.0
65,TypeScript,2,tool,38.0
66,R,1,tool,88.0
67,Ansible,1,tool,72.0
68,Ruby,1,tool,76.0
69,Kafka,1,tool,65.0
70,Scala,1,tool,58.0
71,NoSQL,1,tool,122.0
72,API,1,tool,107.0
73,REST,2,tool,214.0
74,ABAP,1,tool,4.0
75,Xcode,1,tool,57.0
76,Swift,1,tool,69.0
77,Protractor,1,tool,6.0
78,Cucumber,1,tool,10.0
79,jMeter,1,tool,5.0
